,Disease,Description,Symptoms,Symptoms+Description
443,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
444,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
445,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
446,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
447,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
448,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
449,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
450,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
451,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
452,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
453,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
454,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
455,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
456,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
457,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
458,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
459,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
460,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
461,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
462,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
463,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
464,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
465,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
466,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
467,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
468,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
469,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
470,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
471,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
472,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
473,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
474,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
475,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
476,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
477,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
478,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
479,Hypothyroidism,"hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone.","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,","fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,hypothyroidism, also called underactive thyroid low thyroid, disorder endocrine system thyroid gland produce enough thyroid hormone."
480,Psoriasis,"psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family.","skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,","skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family."
481,Psoriasis,"psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family.","skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,","skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family."
482,Psoriasis,"psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family.","joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,","joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family."
483,Psoriasis,"psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family.","skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,","skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family."
484,Psoriasis,"psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family.","skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,","skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family."
485,Psoriasis,"psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family.","skin_rash, joint_pain, skin_peeling, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,","skin_rash, joint_pain, skin_peeling, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family."
486,Psoriasis,"psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family.","skin_rash, joint_pain, skin_peeling, silver_like_dusting, inflammatory_nails,,,,,,,,,,,,","skin_rash, joint_pain, skin_peeling, silver_like_dusting, inflammatory_nails,,,,,,,,,,,,psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family."
487,Psoriasis,"psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family.","skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails,,,,,,,,,,,,","skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails,,,,,,,,,,,,psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family."
488,Psoriasis,"psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family.","skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,","skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,psoriasis common skin disorder form thick, red, bumpy patch covered silvery scales. pop anywhere, appear scalp, elbows, knees, lower back. psoriasis can't passed person person. sometimes happen member family."
